gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,liver_448_adjacent_non-tumor_tissue,liver_448_tumor,liver_473_adjacent_non-tumor_tissue,liver_473_tumor,liver_510_adjacent_non-tumor_tissue,liver_510_tumor
BIRC5,601.562692172008,4.73279417605879,0.546306303668188,8.66326114906659,4.58456525768418e-18,9.43802299452691e-16,62.8780328020731,1764.12379172549,39.9739560147895,1027.12782065726,27.4950964951241,687.777455337308
HHIP,259.158819856658,-10.8784982590447,1.25750132856758,-8.65088410796067,5.11019772953393e-18,1.04032269778356e-15,597.341311619694,0,551.364910548821,0,405.552673303081,0.694023668352481
ANGPTL6,117.876077393812,-3.99333379526098,0.464652304292093,-8.59424080839308,8.38170891952559e-18,1.68757880025877e-15,185.265632363251,10.2950117066098,201.24819235032,13.3277831400163,279.07522942551,18.0446153771645
NAT2,831.232819533253,-7.40211523158452,0.861835009833893,-8.58878456679449,8.78941466874289e-18,1.75043103870334e-15,1345.14077315863,24.2668133084374,1626.52648611902,3.55407550400434,1986.52072177272,1.38804733670496
CCNE1,137.462620651534,3.78914224183943,0.444082564518977,8.53251747441102,1.43196913230044e-17,2.82113316580738e-15,23.5792623007774,283.11282193177,15.1625350400926,275.440851560337,16.4970578970745,210.983195179154
ITLN1,129.689101018055,-7.99188222258546,0.941767355763417,-8.48604718954935,2.13784659066926e-17,4.16698140789811e-15,253.757775236938,0.735357979043558,125.435517149857,0.888518876001086,395.929389529787,1.38804733670496
HJURP,281.534212881672,4.34831099478313,0.512628297899544,8.48238580000364,2.20622607507867e-17,4.25499727869384e-15,35.9303044583275,655.939317306853,24.8114209746969,632.625439712773,17.8718127218307,322.026982115551
E2F1,357.397927200061,3.52523207142076,0.415730557200658,8.47960779009867,2.25954330415912e-17,4.28942720845575e-15,58.3867447447821,692.707216259031,71.6774383713467,789.004761888964,41.2426447426862,491.368757193556
FANCI,495.849766271012,3.0430423955677,0.358890628920492,8.47902438890889,2.27090077076852e-17,4.28942720845575e-15,124.633243589823,947.876434987146,121.300280320741,820.102922549003,75.6115153615913,885.574200817765
PLK1,307.427645904028,5.11208160161665,0.604311995823055,8.45934159333399,2.68891325525673e-17,5.02717027171569e-15,21.3336182721319,848.603107816266,22.0545964219528,636.179515216778,8.24852894853723,308.146508748501
HGFAC,1811.7016281142,-7.78648623708088,0.923447319590638,-8.43197665085282,3.39874807158109e-17,6.29008708762715e-15,3049.58459090054,0.735357979043558,4063.55939074481,38.2063116680467,3707.71376236749,10.4103550252872
MBL2,4001.77977155633,-3.52005768504264,0.418468950369382,-8.41175356483557,4.03925850127335e-17,7.40072942603303e-15,6928.93465038559,903.019598265489,8915.57060357444,425.60054160452,6241.38690439317,596.166331114781
MARCO,1850.96841748095,-6.91615907001843,0.823244820465816,-8.40109636657668,4.42329212135397e-17,8.02411467796509e-15,2288.31126518973,5.88286383234846,2951.18068371256,17.7703775200217,5775.34501880082,67.3202958301906
TTK,247.043980929268,4.21757331886,0.503898085042697,8.36989352420865,5.76703199236524e-17,1.03591725651094e-14,32.5618384153593,293.40783363838,23.4330086983249,648.618779480793,19.2465675465869,464.995857796162
KIF18A,130.509625994206,4.51480431383178,0.539596088060181,8.36700712576005,5.91001249616271e-17,1.05129367917178e-14,14.5966861861955,283.848179910813,13.7841227637205,226.572313380277,4.12426447426862,240.132189249958
TTR,55692.5857753526,-4.56101586259951,0.545212052704223,-8.36558150168748,5.98191639309315e-17,1.05385261686781e-14,87151.1991077019,7006.49082432702,161157.071292039,2499.40359819106,72266.7368729595,4074.61295689741
LCAT,1299.22109611136,-5.67667752909384,0.67915025958959,-8.35850012414669,6.35206494329764e-17,1.10840508467714e-14,1255.31501201282,24.2668133084374,2960.82956964717,28.4326040320348,3430.01328776673,96.4692899009948
POLQ,144.875239204347,3.67813128298752,0.441585889155349,8.32936779303101,8.12752025977695e-17,1.4048342094305e-14,19.0879742434865,339.00002833908,19.2977718692087,222.129719000272,24.7455868456117,244.990354928426
ACMSD,1547.51933821665,-2.77702826028195,0.33511281488725,-8.28684591252142,1.16291136432368e-16,1.99129551562042e-14,2228.80169843063,450.039083174657,2532.14335169546,392.72534319248,3342.02897898234,339.377573824363
ILDR2,450.460249005143,5.19005190395368,0.62690421115342,8.27885953167338,1.24360525640181e-16,2.1097532877587e-14,14.5966861861955,1021.4122328915,12.4057104873485,1082.21599096932,45.3669092169548,526.763964279533
SRD5A2,1483.76653239013,-7.37247802906158,0.890637626601285,-8.27775271206012,1.25521550430515e-16,2.10991362108981e-14,2747.54546904773,44.1214787426135,2809.20421924624,7.10815100800869,3292.53780529111,2.08207100505744
CCNE2,132.343401315955,4.76248365520586,0.575785574066582,8.2712799168795,1.32528487974592e-16,2.20744268788225e-14,8.98257611458187,349.29504004569,6.89206138186026,254.116398536311,12.3727934228058,162.40153839448
KAZN,66.7576664379496,-3.9545638691924,0.478297084308553,-8.26800747679506,1.36216352546881e-16,2.24842883906663e-14,119.01913351821,9.55965372756625,128.192341702601,6.2196321320076,129.226953527083,8.32828402022977
KIF2C,306.039128471796,4.59106127294477,0.555745619793369,8.26108404534391,1.4435539599969e-16,2.36149961205922e-14,38.1759484869729,872.134563145659,16.5409473164646,420.269428348514,17.8718127218307,471.242070811334
PITPNM3,83.302530105997,-6.49486846356723,0.786410613024595,-8.25887692256273,1.47049456804946e-16,2.38428331644268e-14,116.773489489564,1.47071595808712,241.222148365109,3.55407550400434,136.100727650864,0.694023668352481
CDCA8,174.34420790901,3.70552851430278,0.449661549458775,8.24070574582785,1.71197795056286e-16,2.75147894826427e-14,31.4390164010365,389.004370914042,23.4330086983249,240.788615396294,19.2465675465869,342.153668497773
OIT3,1126.63415562182,-4.99065585127992,0.609079966234237,-8.19376129235653,2.53186955306921e-16,4.03381860446384e-14,2182.76599584339,84.5661675900091,1633.41854750088,100.402632988123,2737.13685608961,21.5147337189269
DLGAP5,186.082688015671,3.96557363648906,0.484715655718269,8.18123695759883,2.80944818686401e-16,4.39954783587371e-14,34.8074824440047,394.887234746391,15.1625350400926,351.85347489643,16.4970578970745,303.288343070034
